1000 1000
729 840 1
237 758 85
11 479 -37
534 727 86
19 87 54
368 838 -77
148 224 -42
86 445 50
552 814 67
662 753 78
68 115 41
680 795 -3
698 710 -30
308 547 -29
472 807 -4
507 909 90
59 658 22
410 853 10
504 921 -74
183 730 -98
229 439 0
730 888 -59
202 964 0
471 591 -83
248 658 -51
514 863 -83
17 759 -48
488 499 -34
80 136 -15
75 217 64
390 718 79
308 415 43
424 747 15
260 800 67
268 910 -78
119 313 26
642 800 -15
233 716 85
665 950 -68
113 431 -15
432 859 -39
231 560 97
179 276 -39
267 589 93
362 908 55
542 594 -32
453 558 -2
19 917 94
450 686 97
597 695 22
114 323 -23
270 380 1
631 758 66
651 751 17
203 972 99
446 990 -98
484 548 69
344 594 6
458 631 -77
532 900 27
146 641 -4
574 896 -1
454 545 -21
872 899 24
147 419 13
20 842 -31
2 809 -39
19 692 33
165 590 73
176 515 9
783 981 -97
622 654 64
120 778 87
149 419 -11
579 803 -54
241 822 53
830 928 -48
455 611 -55
53 393 -64
26 629 69
609 758 -58
379 422 60
225 867 31
107 885 -34
164 483 32
388 445 3
69 792 -83
49 705 -61
420 666 16
177 842 52
395 636 14
873 901 89
735 774 5
161 761 16
252 829 67
82 956 -87
804 853 16
721 980 62
277 357 -26
368 529 15
141 973 -42
734 811 55
62 76 -42
509 882 -89
6 685 6
78 221 41
320 850 65
40 982 40
306 435 -84
245 492 56
151 567 -74
16 33 -87
373 546 32
474 766 -35
145 601 92
934 985 15
772 900 81
638 743 73
700 789 -87
715 875 -88
621 772 87
123 446 -3
724 848 -73
185 489 99
740 934 -70
571 996 -43
583 695 -82
458 772 -46
392 735 17
209 974 79
821 905 -92
244 746 -59
177 283 18
630 814 -9
45 397 36
284 816 -85
256 370 47
581 879 -13
506 784 -57
69 749 64
36 703 -76
538 849 -60
582 797 -53
292 432 -7
407 899 -30
286 944 -30
340 801 -48
313 409 -77
348 906 -46
507 796 -96
651 656 -77
137 942 39
322 543 69
252 617 -47
196 592 68
199 509 13
313 456 -7
171 605 79
255 457 64
593 856 -38
529 760 -14
11 562 64
285 758 52
119 483 -76
285 783 -40
520 889 -30
328 747 93
132 954 58
73 891 -77
594 986 -54
159 878 -11
629 889 -50
173 191 -15
63 198 58
652 944 -61
135 772 -29
59 844 -76
483 652 -23
635 642 88
875 891 -80
434 748 62
421 945 84
424 898 35
669 865 33
563 923 44
45 320 53
306 695 -7
340 585 30
87 94 -12
750 866 69
757 999 46
133 621 -34
279 695 -19
273 598 76
84 319 35
366 775 -72
138 811 -42
864 887 -65
164 620 7
296 843 37
473 657 -80
281 857 25
113 292 54
127 830 -77
264 872 16
634 735 90
698 797 -96
134 540 -33
142 514 34
112 722 -24
576 931 -29
58 59 -44
713 930 26
346 617 -68
17 314 38
150 372 -17
4 238 -16
115 141 23
72 105 -93
164 491 -52
31 555 -8
647 829 -46
685 846 -17
87 408 -37
54 90 7
546 631 -44
87 690 96
532 602 -94
155 984 -38
85 983 94
164 769 26
164 250 -72
480 569 93
462 490 30
132 196 48
350 487 97
571 744 -63
742 907 65
390 905 -45
91 221 37
20 580 81
83 551 71
320 630 -48
246 806 13
229 989 -17
636 970 1
25 247 49
337 340 78
212 711 -77
646 901 -94
221 443 4
689 971 -57
551 875 -75
510 677 -97
276 500 83
114 839 -83
326 961 -61
456 861 -49
554 898 62
620 876 -18
594 846 98
622 748 -93
77 247 -64
148 542 -37
460 499 41
306 491 -56
396 619 92
590 811 -97
348 756 -93
87 95 29
515 894 -29
393 467 74
317 816 22
658 979 76
21 949 24
183 374 76
170 721 -17
609 699 -59
342 592 30
158 160 -86
62 325 -49
392 978 -35
712 998 81
85 258 -68
428 839 74
535 537 -61
228 393 -15
3 902 14
64 665 -59
947 994 46
81 658 22
338 344 -49
182 925 3
366 811 49
110 366 -23
720 991 -87
500 655 40
440 446 42
520 866 -96
561 799 25
75 829 -62
65 546 -73
49 782 -16
39 957 -34
456 575 -44
366 387 -55
553 604 93
419 703 -56
599 772 -12
638 836 -50
38 520 -68
103 476 -72
29 869 -82
539 608 -30
76 443 -26
335 846 -72
106 637 -40
91 274 -60
610 729 -90
183 564 18
254 784 -9
144 292 1
680 720 -81
14 706 60
342 653 -15
377 744 -28
457 720 41
212 635 54
216 465 60
114 859 44
626 793 94
207 683 28
745 860 -41
323 473 -10
152 394 19
716 826 48
309 393 87
332 422 80
27 310 23
352 586 -19
61 448 50
735 761 48
120 265 58
298 360 58
298 668 40
474 630 -6
730 852 -33
353 434 -32
766 983 0
1 96 31
472 542 -38
849 901 -58
499 751 61
576 720 69
403 802 -15
449 756 -66
267 783 71
619 703 -88
245 279 -58
128 669 64
420 778 -4
850 874 -21
628 638 -36
438 703 54
322 627 49
38 329 -81
317 593 69
261 486 72
616 877 -26
102 800 -66
703 789 63
718 757 97
247 696 -21
103 284 48
47 370 46
519 856 -38
395 717 86
105 517 -28
744 807 -82
461 680 -44
66 926 -32
520 833 -60
203 907 25
426 916 31
633 870 -71
300 974 4
43 687 -45
807 895 -3
716 728 92
118 622 -90
385 922 -22
294 791 16
674 945 -46
292 712 92
34 908 71
154 627 -65
342 410 13
204 879 13
477 988 -31
149 281 -33
174 332 -14
460 624 -13
367 738 99
716 718 4
127 618 72
174 438 20
252 426 20
706 752 -82
38 549 -9
8 475 72
564 572 97
289 702 36
61 671 72
498 745 -45
818 996 80
263 875 23
163 185 -75
648 660 -47
220 845 53
542 546 -26
602 751 11
495 609 -73
354 426 -41
317 616 -63
192 502 -52
839 900 86
293 745 21
248 834 9
974 999 -86
260 582 38
332 614 -11
649 927 62
118 715 -65
452 615 -69
691 744 3
291 914 -16
239 955 36
566 876 -30
559 894 -63
173 526 11
241 777 -1
229 724 16
620 766 4
321 885 -47
627 885 -46
112 177 74
423 538 -80
64 992 87
769 890 -61
130 613 71
277 749 85
833 949 7
69 106 19
194 283 -1
732 782 -2
773 942 -53
15 831 -40
144 913 24
541 662 -28
494 689 -15
535 794 93
81 295 35
190 428 -61
132 815 44
181 686 60
950 985 18
500 646 -81
188 450 -4
336 851 12
145 948 -78
138 240 -76
273 406 33
310 394 -60
532 730 -51
31 486 17
935 974 53
366 824 -37
666 968 -44
560 721 -74
345 708 -50
102 163 -64
46 69 57
127 554 48
100 603 60
320 498 -43
466 840 -90
265 912 40
243 973 9
175 406 -7
517 595 30
579 643 -38
533 799 -69
297 965 40
32 804 -89
296 830 69
73 232 96
5 406 31
214 521 98
189 793 -9
331 987 -80
295 422 99
453 589 63
485 771 -71
468 716 -23
7 824 -23
221 674 -11
173 862 -40
503 922 -34
695 935 -97
761 875 -97
245 669 -38
214 489 84
221 609 -7
219 282 56
549 743 -43
530 822 44
342 464 -13
102 612 -34
526 632 10
91 795 -31
755 791 -54
362 963 31
227 864 0
445 756 0
566 787 61
177 948 -37
300 473 79
63 447 -77
33 206 -88
120 347 69
698 722 94
167 447 -76
12 638 -43
482 585 0
133 332 -24
747 902 79
368 934 -17
539 840 -41
88 261 -93
70 534 82
626 707 89
459 490 52
173 377 -69
278 301 69
21 739 95
389 630 47
442 477 67
102 511 58
48 727 12
265 889 28
641 650 31
303 554 -32
380 644 -33
633 769 -61
181 426 -5
217 282 -57
70 616 -97
378 686 17
379 601 -46
132 154 54
511 888 -69
521 584 74
764 833 85
401 443 57
655 864 -71
32 789 77
525 742 -42
8 797 43
37 466 -48
49 375 5
207 792 -60
234 670 74
676 846 -49
928 987 20
263 804 -73
18 411 -79
180 835 -6
555 913 -97
56 311 -71
46 980 89
792 891 -65
71 886 55
500 930 -35
67 299 -60
247 768 -66
32 116 -12
336 426 26
169 381 64
830 960 51
68 160 -6
441 994 -76
60 890 74
657 941 57
408 723 25
58 204 -42
