1000 5000
4 295 16
139 957 24
448 934 75
63 564 -75
821 885 -18
35 40 0
879 991 -97
329 748 -36
254 623 -72
197 210 -91
319 483 9
382 385 29
205 600 -32
433 635 -8
506 775 98
736 834 76
101 989 71
215 649 -58
168 886 -76
553 758 -35
368 710 4
153 966 -59
471 558 0
129 293 -15
88 581 -34
93 302 -11
240 260 4
393 997 72
112 329 52
294 312 -42
343 870 24
823 940 -98
33 379 -82
125 694 18
376 933 51
120 524 -38
92 204 46
389 755 65
83 442 -89
340 381 6
372 641 91
335 362 -34
89 186 99
61 591 -90
34 989 13
377 431 -63
605 872 62
21 944 -62
506 661 -13
220 448 65
217 986 19
362 807 9
350 423 79
95 853 35
51 898 27
42 270 59
525 548 -28
324 594 -77
349 810 -54
16 710 -59
439 491 -87
23 937 -18
46 272 -31
343 439 22
219 803 -55
234 396 -2
557 934 76
37 925 -5
879 894 56
75 916 5
472 838 -79
254 532 -47
289 847 59
236 756 16
623 624 -93
750 868 -21
177 527 21
402 716 61
655 862 -49
917 994 -12
192 224 -29
347 460 -25
321 371 36
121 310 -21
644 837 99
262 397 -98
475 500 -12
493 978 -46
76 553 82
609 774 46
735 979 -84
45 307 -50
302 451 83
712 935 99
434 565 -27
226 542 62
653 945 -57
256 905 23
561 990 37
489 867 17
402 939 64
316 688 -38
818 880 -98
43 361 -18
658 676 24
283 401 48
187 961 -9
675 979 -45
562 732 -17
856 877 -39
25 938 -80
99 651 12
126 290 72
690 722 31
393 908 75
173 371 -49
567 734 20
412 774 69
702 951 15
49 328 -62
617 935 33
656 965 -6
134 357 99
306 449 -81
54 367 4
774 818 -88
504 724 -21
184 936 50
584 870 9
116 901 -43
250 344 -87
144 221 -49
275 354 1
127 643 -13
146 887 -78
681 822 -80
290 616 19
64 757 76
164 759 64
737 914 -15
118 267 -5
119 760 -46
5 977 85
418 657 -67
140 707 -87
203 616 -20
437 780 65
350 682 29
35 151 11
11 153 -17
455 987 33
553 872 15
55 692 44
671 917 9
353 476 68
509 898 -20
732 932 71
141 742 -43
596 629 -23
533 991 0
45 197 -21
84 113 -19
240 559 -17
137 538 28
621 700 -6
502 840 -42
130 518 -57
58 508 90
606 764 22
542 847 -33
403 782 74
292 603 41
248 654 25
420 750 -31
937 941 44
350 835 -99
22 599 -71
557 563 53
728 959 65
331 359 61
139 606 -28
559 813 -89
753 886 -42
342 721 -8
433 715 -18
372 989 24
100 642 96
710 1000 -16
849 946 -15
110 305 4
190 599 67
77 940 83
103 861 -34
311 474 -95
304 345 -5
406 823 10
120 626 -63
321 930 93
462 919 -32
17 890 15
202 471 49
512 746 -68
442 926 -20
100 432 -52
409 816 -50
136 945 -61
758 894 -16
184 262 99
49 386 -27
146 248 -15
173 236 -85
19 238 94
346 405 -17
631 642 -98
267 876 48
200 450 -20
248 600 83
847 851 83
86 469 -43
706 838 -83
353 535 54
653 983 25
26 919 46
577 920 -6
519 990 21
192 605 -36
380 426 -32
569 616 44
299 968 30
303 909 -11
210 934 -92
199 481 38
540 960 -16
453 916 -58
92 184 75
59 120 -6
190 419 -79
98 543 -45
753 938 -92
488 931 -83
242 300 56
104 467 -1
377 558 -42
497 949 -94
26 490 -38
569 984 -69
214 273 4
489 497 85
140 894 98
713 801 81
529 624 -37
584 925 42
610 982 52
317 322 1
106 887 0
839 946 72
71 84 80
223 562 17
538 655 27
591 771 26
104 579 80
252 282 -12
387 766 -72
345 604 -69
768 802 34
604 715 92
221 258 64
343 644 98
222 479 68
112 634 -15
188 399 82
304 885 43
105 930 -92
86 533 -22
306 839 41
482 741 96
365 571 -32
350 548 32
67 87 -52
197 722 73
126 967 -47
52 122 -52
494 961 7
586 856 -48
81 220 42
75 628 -20
493 826 36
11 22 -90
738 977 60
13 860 87
147 859 64
2 814 -3
846 894 45
272 867 39
692 976 -28
71 338 14
161 776 44
140 484 42
507 982 -93
97 320 7
295 753 90
82 971 33
57 362 -77
433 993 -11
120 457 -15
292 858 8
515 850 52
95 620 61
95 176 3
681 808 29
673 742 35
550 851 -2
11 60 13
412 722 -62
467 588 -56
170 561 0
104 616 -70
1 784 -14
94 902 -51
706 753 34
301 716 -38
374 453 -91
200 919 -71
372 721 17
475 589 57
124 589 69
26 74 75
779 862 -92
162 232 -24
36 768 -47
319 719 -36
55 90 25
484 643 -24
647 959 15
291 720 12
406 504 43
21 989 99
47 140 -29
117 819 48
575 873 -20
410 998 96
644 712 -3
168 354 -11
556 925 -73
426 928 -40
322 824 -76
140 726 97
619 652 -25
968 974 -31
37 187 24
355 888 -98
443 472 95
536 897 -88
665 857 -60
158 742 -59
128 238 -56
211 641 8
85 827 -88
587 973 -11
59 707 -88
277 594 26
39 293 -97
197 510 78
288 747 -22
531 928 55
897 968 38
450 483 -57
508 546 -99
174 226 -1
52 265 -52
561 983 -87
270 962 -66
523 845 54
293 419 -2
94 160 -45
345 706 -52
306 922 96
357 901 -49
190 884 -26
151 894 -53
708 768 57
260 352 -89
287 420 -96
449 983 -6
106 756 -93
144 656 -82
362 685 -95
255 449 33
508 691 -10
52 951 2
691 699 -45
499 904 28
659 723 -17
218 853 4
214 600 39
400 973 -44
455 664 64
419 858 34
469 532 -72
435 853 22
340 575 59
544 964 -96
189 916 -27
161 472 73
278 690 88
109 475 -86
358 959 -95
812 818 37
349 509 -33
664 982 -60
89 170 -45
819 912 5
508 647 76
63 473 -96
374 792 -74
564 961 -25
859 912 -20
682 841 5
103 122 -91
273 550 73
196 602 99
17 348 49
176 491 -77
91 255 18
114 792 80
138 825 18
240 711 81
608 612 -42
94 209 -77
380 441 -17
555 947 32
554 652 -50
631 795 -75
694 768 -15
404 949 -69
513 556 -24
703 958 -92
363 434 80
661 766 36
688 769 -31
318 907 32
800 953 43
314 748 74
178 599 -19
464 653 84
178 918 -25
114 683 -3
801 988 -64
246 897 55
696 999 -5
312 332 -97
869 930 -75
333 860 71
149 777 -51
263 808 -12
147 977 32
88 873 93
87 551 14
812 882 -38
214 681 -96
425 469 73
278 617 -15
85 329 -93
305 826 73
267 914 0
515 817 0
327 691 -60
256 957 -70
425 596 85
225 301 -71
565 629 38
391 513 66
131 967 58
811 834 44
854 857 -17
240 814 40
78 187 82
379 607 -19
523 611 -95
475 514 -19
630 833 51
441 549 76
694 757 53
247 285 -11
324 846 85
658 804 -64
268 760 90
274 863 97
602 844 22
150 299 76
344 683 27
691 929 1
740 888 5
70 397 69
181 312 8
158 526 62
385 759 4
683 934 17
616 697 56
159 739 46
250 804 20
742 873 12
406 473 -10
630 826 -51
210 657 -99
590 869 -21
565 979 -99
246 489 80
50 301 34
43 99 30
571 594 29
382 419 91
390 644 -23
198 512 -86
176 986 30
11 583 52
664 839 57
288 937 -56
233 586 -9
54 319 30
206 697 89
276 403 87
613 719 44
49 81 30
140 887 -52
9 780 80
443 947 -14
645 848 76
202 418 -54
46 795 33
513 831 -56
88 879 40
545 579 39
906 973 21
415 736 19
380 496 -56
266 963 -36
423 757 -19
253 877 -17
310 316 47
188 854 -3
160 325 13
60 134 -38
47 981 22
9 260 55
34 876 37
104 655 -67
368 964 11
907 915 79
239 594 42
233 727 -39
163 279 -4
422 860 -55
87 494 43
500 563 7
